hostname,ip,port,protocol,cve,cvss,title,description
172.16.135.130,172.16.135.130,22,tcp,,,ssh OpenSSH 9.6p1 Ubuntu 3ubuntu13.14,Ubuntu Linux; protocol 2.0
172.16.135.130,172.16.135.130,80,tcp,,,http nginx 1.24.0,Ubuntu
